13	pid 0	455.17578125	5.092573881149292
13	pid 1	453.4609375	5.741045236587524
13	pid 9	453.3671875	5.785402059555054
13	pid 3	459.38671875	6.138681411743164
13	pid 11	461.41796875	6.207580327987671
13	pid 10	457.0390625	6.236394643783569
13	pid 2	455.3203125	6.2454400062561035
13	pid 12	464.9609375	6.299252510070801
13	pid 8	455.2109375	6.307737112045288
13	pid 4	453.375	6.31445050239563
13	pid 6	457.2578125	6.329466104507446
13	pid 7	459.54296875	6.329455852508545
13	pid 5	453.39453125	6.3302342891693115
